pipeline,model,sex,mean_mae,std_mae,n_features,n_samples,n_subjects,successful_folds,n_train_samples_per_fold,best_params
freesurfer8001ants243,baseline,M,22.686846951462694,0.6370759025430788,0,1710,925,5,1368.0,N/A
freesurfer8001ants243,baseline,F,18.246831903068767,1.1717288677588187,0,3071,1472,5,2456.0,N/A
freesurfer8001ants243,elasticnet,M,16.68119597662739,0.5532491381982926,111,1710,925,5,1368.0,N/A
freesurfer8001ants243,elasticnet,F,15.164812050310953,0.3954195633293399,111,3071,1472,5,2456.0,N/A
freesurfer8001ants243,kneighbors,M,10.301914665513783,0.9084729546390501,111,1710,925,5,1368.0,N/A
freesurfer8001ants243,kneighbors,F,9.63698644995949,0.3402448645497683,111,3071,1472,5,2456.0,N/A
freesurfer8001ants243,histgradientboosting,M,6.758579330437351,1.40484156377152,111,1710,925,5,1368.0,N/A
freesurfer8001ants243,histgradientboosting,F,6.647181900924683,0.09770203295240733,111,3071,1472,5,2456.0,N/A
freesurfer8001ants243,extratrees,M,8.019690520836805,1.6430784716875364,111,1710,925,5,1368.0,N/A
freesurfer8001ants243,extratrees,F,7.646668688159723,0.18929410523735818,111,3071,1472,5,2456.0,N/A
freesurfer8001ants243,svm,M,10.040644134439138,0.6582416256136111,111,1710,925,5,1368.0,N/A
freesurfer8001ants243,svm,F,8.94743782731913,0.2679138029183233,111,3071,1472,5,2456.0,N/A
freesurfer741ants243,baseline,M,22.686846951462694,0.6370759025430788,0,1710,925,5,1368.0,N/A
freesurfer741ants243,baseline,F,18.246831903068767,1.1717288677588187,0,3071,1472,5,2456.0,N/A
freesurfer741ants243,elasticnet,M,17.352485139652174,0.675895152951854,120,1710,925,5,1368.0,N/A
freesurfer741ants243,elasticnet,F,15.520603405288664,0.3819026249927783,120,3071,1472,5,2456.0,N/A
freesurfer741ants243,kneighbors,M,11.174602118720012,0.9098654052644337,120,1710,925,5,1368.0,N/A
freesurfer741ants243,kneighbors,F,10.225033969409404,0.5044857269314617,120,3071,1472,5,2456.0,N/A
freesurfer741ants243,histgradientboosting,M,9.338477414271109,0.7273777505887102,120,1710,925,5,1368.0,N/A
freesurfer741ants243,histgradientboosting,F,8.680152664120104,0.22954633995401982,120,3071,1472,5,2456.0,N/A
freesurfer741ants243,extratrees,M,11.385110932544753,0.616554890303519,120,1710,925,5,1368.0,N/A
freesurfer741ants243,extratrees,F,10.13570644253089,0.19999419392405252,120,3071,1472,5,2456.0,N/A
freesurfer741ants243,svm,M,11.708074797429495,0.5140926858702864,120,1710,925,5,1368.0,N/A
freesurfer741ants243,svm,F,10.201029432129198,0.5367595477056337,120,3071,1472,5,2456.0,N/A
samseg8001ants243,baseline,M,22.686846951462694,0.6370759025430788,0,1710,925,5,1368.0,N/A
samseg8001ants243,baseline,F,18.246831903068767,1.1717288677588187,0,3071,1472,5,2456.0,N/A
samseg8001ants243,elasticnet,M,16.109320939624517,0.46401108761061793,108,1710,925,5,1368.0,N/A
samseg8001ants243,elasticnet,F,14.631367541954152,0.5017579555024932,108,3071,1472,5,2456.0,N/A
samseg8001ants243,kneighbors,M,12.728967310588757,0.5631809121197254,108,1710,925,5,1368.0,N/A
samseg8001ants243,kneighbors,F,11.426929516264819,0.5095692382835172,108,3071,1472,5,2456.0,N/A
samseg8001ants243,histgradientboosting,M,12.184792083958055,0.4282254883014981,108,1710,925,5,1368.0,N/A
samseg8001ants243,histgradientboosting,F,10.42647208924859,0.17012035364222194,108,3071,1472,5,2456.0,N/A
samseg8001ants243,extratrees,M,13.26268037770448,0.4527235154414208,108,1710,925,5,1368.0,N/A
samseg8001ants243,extratrees,F,11.685653150364633,0.2695150734532853,108,3071,1472,5,2456.0,N/A
samseg8001ants243,svm,M,12.724457139041714,0.8263035748391743,108,1710,925,5,1368.0,N/A
samseg8001ants243,svm,F,10.662750396928349,0.3775764662953825,108,3071,1472,5,2456.0,N/A
fslanat6071ants243,baseline,M,22.686846951462694,0.6370759025430788,0,1710,925,5,1368.0,N/A
fslanat6071ants243,baseline,F,18.246831903068767,1.1717288677588187,0,3071,1472,5,2456.0,N/A
fslanat6071ants243,elasticnet,M,18.055933913817068,0.943929676824385,45,1710,925,5,1368.0,N/A
fslanat6071ants243,elasticnet,F,15.531310541221501,0.2387919273869978,45,3071,1472,5,2456.0,N/A
fslanat6071ants243,kneighbors,M,15.670266811032977,0.920452569559484,45,1710,925,5,1368.0,N/A
fslanat6071ants243,kneighbors,F,13.435320930203565,0.5772430091580449,45,3071,1472,5,2456.0,N/A
fslanat6071ants243,histgradientboosting,M,14.814282072177274,0.9350047376399744,45,1710,925,5,1368.0,N/A
fslanat6071ants243,histgradientboosting,F,11.673135700897719,0.3645375309259201,45,3071,1472,5,2456.0,N/A
fslanat6071ants243,extratrees,M,15.96021696981416,0.9437565697706188,45,1710,925,5,1368.0,N/A
fslanat6071ants243,extratrees,F,12.538988235844986,0.5229256701484147,45,3071,1472,5,2456.0,N/A
fslanat6071ants243,svm,M,14.044597519767468,1.0916411231816732,45,1710,925,5,1368.0,N/A
fslanat6071ants243,svm,F,11.403612957695936,0.5696501582638965,45,3071,1472,5,2456.0,N/A
all_pipelines,baseline,M,22.686846951462694,0.6370759025430788,0,1710,925,5,1368.0,N/A
all_pipelines,baseline,F,18.246831903068767,1.1717288677588187,0,3071,1472,5,2456.0,N/A
all_pipelines,elasticnet,M,15.955466265420231,0.4381475937606899,384,1710,925,5,1368.0,N/A
all_pipelines,elasticnet,F,14.426060980245248,0.3430277428372024,384,3071,1472,5,2456.0,N/A
all_pipelines,kneighbors,M,9.586644910278668,0.9172210912711587,384,1710,925,5,1368.0,N/A
all_pipelines,kneighbors,F,9.077259740869964,0.3299781872967168,384,3071,1472,5,2456.0,N/A
all_pipelines,histgradientboosting,M,6.0729013415646,1.2736349106974911,384,1710,925,5,1368.0,N/A
all_pipelines,histgradientboosting,F,5.880726697244972,0.20656370873413502,384,3071,1472,5,2456.0,N/A
all_pipelines,extratrees,M,7.588146869227863,1.3146418132182953,384,1710,925,5,1368.0,N/A
all_pipelines,extratrees,F,7.170991773859188,0.21738473051773272,384,3071,1472,5,2456.0,N/A
all_pipelines,svm,M,10.611396342859521,0.44064242252061714,384,1710,925,5,1368.0,N/A
all_pipelines,svm,F,8.60090490034506,0.321966503485971,384,3071,1472,5,2456.0,N/A
ensemble,ensemble_elasticnet,M,17.08598275372658,0.624855644332963,multiple,1710,925,5,,
ensemble,ensemble_elasticnet,F,15.165731748505612,0.4344085540152895,multiple,3071,1472,5,,
ensemble,ensemble_kneighbors,M,12.163913892108813,0.48522096402633674,multiple,1710,925,5,,
ensemble,ensemble_kneighbors,F,10.895753717205261,0.3515110924319768,multiple,3071,1472,5,,
ensemble,ensemble_histgradientboosting,M,9.579678625745013,0.6380450119662099,multiple,1710,925,5,,
ensemble,ensemble_histgradientboosting,F,8.07588462984545,0.20482742522015462,multiple,3071,1472,5,,
ensemble,ensemble_extratrees,M,11.935389249855945,0.68297801424128,multiple,1710,925,5,,
ensemble,ensemble_extratrees,F,10.060102724688022,0.24454669173939955,multiple,3071,1472,5,,
ensemble,ensemble_svm,M,15.753546928357304,0.6459286264379624,multiple,1710,925,5,,
ensemble,ensemble_svm,F,13.01584067507911,0.9910434018004372,multiple,3071,1472,5,,
